id,Sentence,Label
30258,prahladspatel modi mantrimand may samil honay badhai narmaday har,positive
16648,bkunalraj tajinderbagga jammupalchhin shehla rashid tajinderbagga tu toh naamakool mare h http co,negative
28511,waglenikhil u saw cast religion nation saw talent trust problem paida ult hue,negative
10466,delhipolic sir local polic station pe complaint krne bi sunwai nhi mene may complaint karwai http co yufzvnnfuz,neutral
19266,maahi song kesari current favourit music melodi arijitsingh aseeskaur becom favouri http co fyouchfeih,positive
14547,jinhwitaek onli one boy matter uhh love lot,positive
22889,sarwatvalim sarwatje wednesday muqabil open speech bahut behatreen lage good express http co kcbshulnwi,positive
14328,rt sunil deodhar today wa one best speech narendramodi ji speak like true statesmen dedic thi victori p,positive
24413,rt aapk shubh chintakk lalit jaiswal taraf aapko aapki jeet hardik subhkamnay,positive
25470,kamla pasand answer right wish win pakvswi wivspak pakvswi pakvwi wivpak,positive
1362,rt pledgeagainstcorrupt gurmeetramrahim good afternoon guru g bless us give us power sewa,positive
31976,kartavi watan imaan watan dil na juda payeg aay gar toofan hamari raaho kad http co ihpwndxgmd,positive
33731,zeenewshindi muslimo vote hasil karn wala chamcha jb v bolega bura bolega bolega bjp virodhi h muslim k,negative
36215,rt niiravmodi anantkumarh btaa de savarkar kon major achiev kya h uss log naam le rahi h,neutral
27137,incindia rassi jal gaya lekin aithan nahi gaya rahulgandhi kari bjp liyeinch inch ladai karog http co,neutral
576,rt zarrarmalik super hilari true realiti noora haramkhor famili imrankhanpti zaidzamanhamid ghulammustafa abasi,neutral
27534,prannoyroyndtv n't feel good log raveesh roni surat dekhn liy ndtv chipk hue http co zlecludfac,neutral
569,rt may allah bless us strong imaan taqwa pieti pure heart good manner allah give eye,positive
28631,mani mani congratul prime minist narendramodi sath vikash visvash jay hind http co,positive
37864,rt today host none bhai jaan superstar beingsalmankhan n beauti katrinakaif thekap,positive
13970,srkterriost beingsalmankhan accha sach accha sacchi kabhi toh apni jali h http co,negative
19296,rt ykabiryusuf paniwala unicefindia great move goi bring water resourc drink water togeth hope effort sustain gai,positive
33166,shripadynaik bhau wish best term minist state defenc ayush god bless,positive
4537,chor izat g han pakistan k sb baray chor nawaz sharif choriya karnay pr izzat welldon http co,negative
39079,ajeb jahiloun n youtub p channel banay hue parhana nahi ata sahi saray concept aisi taisi krdi,positive
15053,shabi kadir mubarak may almighti forgiv sin bring joy http co pwafrscynd,positive
43518,abb na govern bodi pe bharosha raha nahi institut pe vajah nahi kyuki sunn wala nahi http co,negative
26558,ansaraabbasi bhaiyon pakistan inshallah pakistan nizam khatam karega,negative
6773,tarekfatah sir ji apko thanku upload thi video dil khu gaya,positive
38562,red maryamnsharif mtlb agr maa mr jati ulad use kha gye bolt ji jahal http co,negative
2304,amethi bjp pilla mara bjp k neta kutti media esko ais dhika rahi thi jais cm pm mer gaya hol http co,negative
9510,sarfaraza ahsan bhai meri taraf best wish di jye ga apnay bhai,neutral
28570,absakom tarekfatah tarek fateh sb nahi khanzeer kaho isay agar isay kutta kaho tu kutti taoheen gi k http co,negative
17777,rt welfareatitsbest dera sacha sauda gurmeetramrahim pujya guru ji prerna chalt hue dera anuyayi jaha insano k,neutral
23853,y'all rememb cute boy follow ig bich like two old pic fee im confus,negative
22638,narendramodi hamar priy pradhan mantri ji sabs pahal bharat deshwashiyo taraf aapako badhai http co,positive
10162,ijazulhaq siratom power k ilawa sub great karnama aik elect pmchairman oic illeg death pena http co,negative
14681,world cup begin today crown cricket mdm jii hum le jaeng best teamindia http co,positive
17225,rt god owngrl bae apn dosto sath parti nai jaogi jaungi bae nahi jaogi mtlb nahi jaogi tu rokega mjhee bae ha mai ro,negative
31554,yrr isey oppo pkrao ji hlki light b achi pictwr ajati http co,positive
22220,come better go insha allah ramadan mubarak muslim ummah http tco,positive
14434,iamirpathan dilsedesh wais bjp dalal hoga wahi rupya le ker tv debat jaiga http co tkrqxsbdpt,neutral
19568,saleemkhansafi saleem safi tere jaman taey lanat tu apni maan k kasam nawaz shareef kuttey kabhi nahi bola lif http co,negative
23486,jahalat k tokray smjhay islam consent concept dia balk rehn nahi samjh ana mindset http co,negative
28070,kamaalrkhan becaus sushant 's big movi come thi august nitesh tiwari ha good hy http co,positive
21390,chand tare tod full video song boss shahrukh khan juhi chawla http co via youtub,neutral
13932,yadavakhilesh wa fool trust mayawati shukr bjp seat gaye nahi toh yeh bua sabs pahl bhagt http co,negative
23514,ani digit ani toh tu q bta rha,neutral
31245,beingsalmankhan wowowo bhaijaaan luvvvv uhhh unar realli god present earth luv life everyth sir want meet u,positive
31713,rt aan wale day new india liy bhut aham hone wale e commers sector oil 's apko bhut utar chad,positive
15577,sherryontopp rahulgandhi priyankagandhi ahmedpatel incindia iyc mahilacongress yahi bakwa harwa diya congress,negative
19075,anjanaomkashyap esi baat prr madam debat apk sath sambitswaraj hojay dekht kon kitna bada chaplu bjp rss,positive
24946,ani digit ani humar pm modi ji naman karta hu ishwar prarthna karta hu humasaa humar desh k http co,neutral
22519,rt prabhanailw haha hamar modiji great http co,positive
37750,best thing liber journalist normalis everyth use modi one bhaisahab p http co dtmzvixgnc,neutral
2591,frnd bhai tu kaha traffic fasa hua hu bhai frnd jaldi aa apn gaw jsb aayi http co,neutral
41031,tharakipan itzsaifkhan yogeshsingh bc baar phasa sala aaisa jhatka laga thana yaar direct usk baad underwear,neutral
24344,akkian beast logo phle smjhna sunna sikho bcz jruri nhi dikh gya wo shi hr dm,neutral
30364,sheisnotbor darsi jcb khudai dekhn nehi jaat kya 's trend bcz jcb meme n r hilar http co,positive
25580,yeosoymilk oooh head cover remind lil uhh danish special forc frog men super rad love color work,positive
22749,modiledubega chor buddah kyu chup chap nehi rehrakta hei rss walo buddah gaand maaro jail rahkebhi khu http co,negative
12541,dhanik itz aziz rubikaliyaquat abpnewstv abpnewshindi http co,neutral
15187,dalit obc nahi jate pichhro bat unka hak marti rahegi bjp kabhi rastravad kabhi hindut http co kumfbfqaej,positive
19805,anupampkh veri nice think sir hamar desh aag badn nhi rok sakta jai hind,positive
19550,majorgauravarya crpfindia kutt poonch kabhi seedha nahi hosakti pakistan niyat kab http co,negative
16419,rt ram ji aajkal aapka name leke kuchh log insano khun rahe hiisp kiya kaheng http co,negative
42854,rt kicchasudeep best wsh abhi film ha n't new u yet step matter n 'm sure u give ur best n wil fetch,positive
8780,crazi mess bole n mujh lga yhan bhot sari shadiyaan rhi unka hua hoga bt sri didu aag http co,neutral
19792,rt atrop idhi nana maata naa math shaashanam whenev watch smritiirani first thing come mind role rajmata,positive
4175,omg miss yu alreadi smoke time hahah,positive
22075,iamspeak modi j k chahet inko nahi pata kaha janm shayad gutter suar paida http co,negative
22520,lambaalka mohtarma bolti bjp wale bhakt log logo ijjat nahi kart yanha apki apni parti http co,negative
28340,waday payen sweet nice one close friend realli trust cherish mujay kabhi dm karliya karo,positive
17322,rahulgandhi hello mr r u agar tumhari maa nahi kiya aaj congress haalat nahi hoti p http co,negative
17955,aimim nation asadowaisi kutt bhonkt rehat,neutral
3184,rssurjewala incindia sir one month nahi kabhi mat bhejana media jisan bjp jitaya modiji http co,neutral
3463,waglenikhil kanchangupta gupta ji iss bagul point nahi samajh payeng kyunki apn kaddu http co,positive
1025,gnnhdoffici shahidmasooddr sayedzbukhari imrankhanpti ptioffici pmln org mediacellppp chalo g bc inhi c http co myrqnpgpiq,neutral
16935,matur commi ais pragya thakur mandat saansad bani pr iss uska kiyaa dharana sahi nahi jaayega,negative
16427,rt blac meek mobilepunch expect trashi respons sinc readi gej visit egypt sam,neutral
17582,rt yeeeeee rt ayeemaj great day kennesawst coachbofbcamp http co,neutral
43789,abki veri cute car may suggest fill back shiba extra cute,neutral
8989,druzbeh youtub apk liy song momentum,neutral
44451,jadafac happi june u jada also happi saturday u ur famili hope u awesomeamaz http co,positive
13602,log exitpol pahl bad jabki pta bje matdan hoga bakva chenal h,negative
22770,maryamnsharif hospit tumhr baap k teen bar wazeer azam rehn k bad walay halat bata rahi hy besharam aurat,negative
23127,dollar chahi jitna opar chala jay jannat ni jaa skta kyn wo kaafir wazir fawad chaudhri,neutral
26414,omarayubkhan god bless u sir sb pakistanio k lye k sb farz banta k hm bijli chori roken ar bijl http co,positive
2450,rt arorakasturi imsuresh insan imvikram insan imkasam happi birthday imkasam sister ji papa ji aapko,neutral
24318,saya pesan untuk semua yg bergelar wanita bukan wanita berloceng dan jugak diri saya,neutral
18809,falshebib awww thank gorgeou ilfal lekum rab feekum much wallaaa love,positive
14707,zeenewshindi sala kyi nahi mob lunch madarchod marja,negative
11189,trspartyonlin kcr feder front mungerila hasina sapn ha ha ha tigerrajasingh,positive
13906,mouxdh use favourit month thi ramdan realli focu anyth,neutral
10600,phenomen advertis best leagu world genuin worst final ever see http co,negative
13217,shefvaidya jyadatar anti-modi log anti-n kyun fir bola pakistan chale jaao toh offend jaat,negative
16042,shekharkapur zindagi yehi reet still one favorit song jai bajrangbali dialogu fi http co qzdpamgebk,positive
16192,chunki mujhm paida nahi sakti jais mata pita pitar garbh nahi paida sakt http co,neutral
12,gon na start anoth june sour note uhhhh,neutral
1767,abe bsdk kale kutt tu kya becha raha tharki nehru tarif likhi hogi ismai kyo tu sale http co,negative
38179,rt smritiirani yeah jais ghadh actual donkey intellig,negative
5726,thatdopedguy chutiy stoner nahi hu na teri tarh sungn fukn nahi jata lawd pata nahi chalta http co,negative
20142,alizeyi hahaha veri funni ba dusron bio data leti ba good job,neutral
2122,modi ji pe ungli utha rahe unh bata du pichli sarkar paap agar abhi convinc nahi hue http co,neutral
32844,manakgupta sarkar charitr pe batta laga rahe desh drohi kya aapko keval matr nara lagana gar http co,positive
14034,pakistan jersi pehn kr indian crush rkhna veri bad,neutral
26777,ankush ekabhijeet oye mc jail sanda saaf karni karega kya bc teri sakl b http tco,negative
13277,kamaalrkhan narendramodi bin pend lota tere jais aadmi bolt bhagod saal smuggl http tco,negative
16544,syahyahussaini abay yar kahan le ker aata yeh dhakan wasim khan kia kasoor thi http co,neutral
19321,narendramodi congratul sir hmlog aps kafi ummid h ap k sath sare indian h jai hind jai shree ram,positive
17014,rt kbhi khaamoshi boht keh jati h tarpan liy yaad reh jati kia farq parhta capstan gold leaf j,negative
17196,reddygaruon dhasu osm pic msg chat krte h aao,positive
35144,apurba offici apurba offici bhaiya u r look khub sundoor love kolkata bhaiya,neutral
8477,let defend infront sjc tu sala lgda bc,negative
32790,ashoswai indiatoday proof de chutiy jhoot mat faila agar tere pa sach saboot supremecourt http co,negative
466,beingsalmankhan bhaijaan ji pleas apka bahot bahot bada fan hoon pleas meri jindagi bachalijiy pleas http co,neutral
39275,srbachchan sir look beati person kbc,neutral
16986,hamar nabinji odissa c congratul apko bahut bahut badhai ji,positive
20152,sherryontopp sardar gaddar nhi expect sidhu,positive
21953,aaphi employe vaha imandari kam kare taki har kam sahi roop teji aag barh http co,negative
44849,pmoindia pronam sir jiajj apps bath korna sir ji desh liya desh appk habal kordiya app age bart rahiy jai hind,neutral
44732,rt falasizz fuck ms thorp fuck ms baaj fuck ms mahmoud fuck ms black fuck ms politt fuck aam,negative
17650,rt raianariswan dear harshadchopda sir thi time show best sir logh bi k,positive
18251,rt atkfc congratul boy sumit rathi aryan lamba select india squad make us proud aamar,positive
12928,ptioffici mophrd sayedzbukhari aonabbaspti gskhan offici yeh hay sacha khan pm ji nay ramazan e ea http co,positive
