id,Sentence,Label
4330,nen vist bolest vztek smutek zmatek osam lose beznad j nakonec jen klid asi takhl vypad j life,neutral
41616,nehant haan yaar neha kab karega woh post usn na sach photoshoot karna chahiy woh post karega http tco,neutral
6648,rahulgandhi televis media congress liy nhi h toh aapko pata chal gya hoga achha hoga congress http co,negative
2512,amitshah narendramodi india nrc lagu kare w kashmir dhara khatam kare indian aps yahi umid,positive
610,nehr typomantri anjanaomkashyap pagal kya real issu mandir import hindu khatr mei,neutral
14356,narendramodi jeet dher sari subh kamnay modi ji asha karta hu jistarah desh janta kha bihar jant http co,positive
5840,fakeionist samjhotaxpress plichapel topi walay babu tau new job hougi humey chutti kesay milay gi,negative
32791,aajtak syedasimwaqar chitraaum syedzafarbjp modi media walon maza ata hindu muslim debat karn,neutral
37480,tarekfatah baih tere itjey kya jalti pakistan therealpcb chutiy kheln de na unh bc tu indian nahi h http co zwvpsnayo,negative
16395,desimarthastew hehe saw come actual someon shaadi,neutral
33428,ecisveep answer miscalcul vote seat one vote matter deshkamahatyohar apn dhji http co,neutral
19222,allah pak os k dil darwaza kbi nai krta sb k lyhe ach ehsa aor dua dil rkhta aajzi,neutral
8422,ravishkumarblog bahut samajhdari cingress faisla liya umme karta hoon k desh parti http co,neutral
26930,rt tu safar tu meri manzil tere bina guzara aye dil mushkil love u iamsrk http co,positive
40285,dobar pm bnne aapko dher sari shubhakamnyen ummid aapk isa karykala desh bhut si nyi uplbadhiyon k http co,positive
21403,siita face life togeth spend money us still money,positive
35826,waah khub likha shama jala jaha roshan kardeta fir kiya apn aapn ba http tco,positive
18017,tani yabikikainaaat abe haattt flop logo aukaad kiya h chutiya log ja aapijaan chaplusi bad http co,negative
39736,marrjao shine ohho veri beauti eye yarrrrr,positive
15893,evryon shit fuck http co rinomqkpsz,negative
5433,atifthepoet haram khor log ulta chor kotow dantey mulk torney bat kerney waley phulon har pehn http co,negative
23492,rt bt armi fin also stade de franc prepar concert look beauti see post instagram http co owhp,positive
13515,aajtak jai shree ram jarurat nahi aandolan guruji modi h mumkinn h pl trust pm,positive
34678,lut chalu gaya bjp walo tumh chut mil raha nahi milna chahiy q http tco,neutral
11310,amarujalanew jinko nahi pta ramcharitmana kya wo bhej rahe h bjp neta phle samjhna chahiy f http co,neutral
27883,abe yhi ram rajya kya jism sbhi sale harami sale itn berahm maar rhe modi dekhna sale tere http co,negative
16679,nsfw hs mayb 'll fa wo n't feel thing,neutral
26920,duniya dil kabhi na dadka dadkha dil yar mil pyar izhar kaho na pyar premi p http co,neutral
35982,'m poor poor-ev happi kase god,negative
14603,madam sushmaswaraj ji alway miss videsh mantri,positive
37801,abhisar sharma newsclickin saw episod nice one sir maan gay yaar abhisar sharma sir bahut himmat wa http co,positive
18824,happi birthday doctor sahab bhagwaan aapko khush swasth rkhe hme ais apni creativ hansaat rhe,positive
21543,indiatoday teri kimat dokodi gayi amit shah captur telegana soon kcr resign,negative
19116,sahibasafeena rubikaliyaquat bhe poj bhai wala mahe chipka ker rakhi yeh bhai bahen pyar http co,positive
44557,mamataoffici mamta banerje na jane kya tumko desh ram jaishriram haar ghum dubi bu b http co,negative
2359,sakshijoshii still far better mm govt u r connect number economi u share http co,neutral
1445,sunoo chanda make gentl nice relat someon life k sahar zarort parti ha,neutral
5440,sunoo chanda hope fr best,neutral
7229,woo hoo cricket world cup start today good luck host englandcricket tournament hope good st http co chihiwhnev,neutral
27364,famili background keh ni sqtai caus kaee ldkiyan fake naam sai id banati h n pic upload krti bina ghr walu ijazat k,neutral
40382,drmanojrajoria mp sahab dr manoj rajoriya g jeet haardik subhkamnay,positive
27897,nahi ghum k maar murder rape fuck shred bite hum,negative
35758,back karat chop cold quickli feel good feel good waaaaag,positive
38461,rt arvindkejriw sadji bheja h apk liy http co,neutral
32467,nitin gadkari sir badhai sir agra meyar smjhao kare modiji raj ramraj http co,positive
33309,rt dillidurast thi paint ha famou indian ad hide tne favourit symbol ad spot anyon k,neutral
10989,fckn pist lose damn ysl shade,negative
18753,give araki lot credit detail work goe make charact http co,positive
